20160211141552 CRAWL RESUMED - Running
           timestamp  discovered      queued   downloaded       doc/s(avg)  KB/s(avg)   dl-failures   busy-thread   mem-use-KB  heap-size-KB   congestion   max-depth   avg-depth
2016-02-11T14:55:32Z        2702        1370         1332        0.4(0.56)      12(6)             0             1        18843         28772            1        1068         685
2016-02-11T14:55:52Z        2703        1363         1340        0.4(0.56)      12(6)             0             0        18111         28772            1        1061         681
2016-02-11T14:56:12Z        2704        1357         1347       0.35(0.56)       1(6)             0             1        19579         28772            1        1055         678
2016-02-11T14:56:32Z        2707        1352         1355        0.4(0.56)       6(6)             0             1        24391         28772            1        1050         676
2016-02-11T14:56:52Z        2710        1347         1363        0.4(0.55)       7(6)             0             0        22054         28772            1        1045         673
2016-02-11T14:57:12Z        2714        1345         1369        0.3(0.55)       4(6)             0             0        18560         28772            1        1043         672
2016-02-11T14:57:32Z        2718        1338         1380       0.55(0.55)       5(6)             0             1        23320         28772            1        1036         669
2016-02-11T14:57:52Z        2721        1331         1390        0.5(0.55)       4(6)             0             1        19000         28772            1        1029         665
2016-02-11T14:58:12Z        2724        1325         1399       0.45(0.55)       3(6)             0             1        22244         28772            1        1023         662
2016-02-11T14:58:32Z        2726        1318         1408       0.45(0.55)       2(6)             0             2        24951         28772            1        1016         659
2016-02-11T14:58:52Z        2731        1310         1421       0.65(0.55)       5(6)             0             0        21971         28772            1        1008         655
2016-02-11T14:59:12Z        2734        1304         1430       0.45(0.55)       3(6)             0             1        25544         28772            1        1002         652
2016-02-11T14:59:32Z        2815        1375         1440        0.5(0.55)       5(6)             0             1        23957         28772            1        1073         687
2016-02-11T14:59:52Z        2819        1372         1447       0.35(0.55)      25(6)             0             0        21137         28772            1        1070         686
2016-02-11T15:00:12Z        2820        1370         1450       0.15(0.55)      27(6)             0             0        20192         28772            1        1068         685
2016-02-11T15:00:32Z        2821        1367         1454        0.2(0.54)      26(6)             0             0        19168         28772            1        1065         683
2016-02-11T15:00:52Z        2822        1365         1457       0.15(0.54)      25(6)             0             1        18254         28772            1        1063         682
2016-02-11T15:01:12Z        2823        1362         1461        0.2(0.54)      35(6)             0             0        25186         28772            1        1060         681
2016-02-11T15:01:32Z        2823        1359         1464       0.15(0.53)      22(7)             0             1        25695         28772            1        1057         679
2016-02-11T15:01:52Z        2824        1357         1467       0.15(0.53)      25(7)             0             0        24248         28772            1        1055         678
2016-02-11T15:02:12Z        2828        1357         1471        0.2(0.53)       2(7)             0             2        18982         28772            1        1055         678
2016-02-11T15:02:32Z        2831        1354         1477        0.3(0.53)      18(7)             0             0        21151         28772            1        1052         677
2016-02-11T15:02:52Z        2835        1351         1484       0.35(0.53)      16(7)             0             0        23992         28772            1        1050         675
2016-02-11T15:03:12Z        2840        1348         1492        0.4(0.53)      19(7)             0             0        20810         28772            1        1047         674
2016-02-11T15:03:32Z        2898        1400         1498        0.3(0.52)      21(7)             0             0        19535         28772            1        1044         700
